,Name,Value,Robust std err.,Robust t-stat.,Robust p-value,Active bound
0,gamma_ac_1,0.8297378644317097,0.44176722433701826,1.8782241386896414,0.06035050930811936,False
1,theta_NF_early,0.0,0.12977985905711756,0.0,1.0,True
2,theta_NF_late,0.0,0.11276015957443164,0.0,1.0,True
3,theta_NF_short,0.0,0.20212208721214087,0.0,1.0,True
4,theta_NF_long,-0.2116039290418188,0.08350467202348433,-2.534037005525974,0.011275682341968185,False
5,gamma_ac_2,1.483486945575198,0.46415672641814715,3.196090589967583,0.0013930336712917324,False
6,gamma_ac_3,0.12425796068656747,0.5476732062528009,0.22688340285394779,0.8205144081459681,False
7,gamma_boiler,3.412921944998258,0.5538441486308999,6.1622424890377285,7.17219172940986e-10,False
8,gamma_washing_machine,3.104662972009056,0.655748318266611,4.734534402186263,2.1955852984589797e-06,False
9,theta_F_early,0.0,0.18627762731391193,0.0,1.0,True
10,theta_F_late,-0.0301484238787232,0.125971518652884,-0.2393273035137215,0.8108517953344507,False
11,theta_F_short,-0.001918163838234963,0.37567158844590864,-0.005105959293248899,0.9959260516136992,False
12,theta_F_long,-0.1209501146673628,0.08783359707824971,-1.3770370187572991,0.16850080294919012,False
